date,cash,securities,loans,other
2016-05-11,0.15891089521392435,0.20029343540101163,0.5352451179232891,0.10555055146177494
2016-05-18,0.15875197177551112,0.20048809532163914,0.5354515320330689,0.10530840086978077
2016-05-25,0.1584140142507329,0.20034455350811364,0.536789101033365,0.10445233120778852
2016-06-01,0.1580657527434035,0.20092772166857542,0.53680393002304,0.10420259556498102
2016-06-08,0.15756666635501873,0.20092485392444537,0.5366966064113173,0.1048118733092186
2016-06-15,0.1574565207058901,0.20089525689798693,0.5362440498213524,0.10540417257477053
2016-06-22,0.15556396887177723,0.20117125427581717,0.5372139830652533,0.10605079378715232
2016-06-29,0.15034743925271443,0.20164531572717379,0.539727078133461,0.10828016688665076
2016-07-06,0.1535839067553859,0.20125246770298338,0.53669184882832,0.10847177671331065
2016-07-13,0.15168482643738443,0.20228993447235766,0.538231076154558,0.1077941629357
2016-07-20,0.1520644925648004,0.2028462732531268,0.5382189496903662,0.10687028449170666
2016-07-27,0.15246612710059104,0.2029210827826856,0.537552811927872,0.10705997818885138
2016-08-03,0.1557447478524508,0.20209720476551318,0.5362840723513463,0.10587397503068974
2016-08-10,0.15291963152427562,0.20308404667378774,0.5376154268934407,0.106380894908496
2016-08-17,0.15330721248062743,0.20272028749892618,0.5371226657196965,0.1068498343007499
2016-08-24,0.1508606193308534,0.20365436166249673,0.539087237589808,0.10639778141684186
2016-08-31,0.14669404010250153,0.2043012607894898,0.5401724595521152,0.1088322395558935
2016-09-07,0.15112425745294505,0.20394842922837575,0.5390149756857597,0.10591233763291952
2016-09-14,0.15199354965786643,0.2041310379415359,0.5374469832561241,0.1064284291444737
2016-09-21,0.14585682313293333,0.2056592894465976,0.5415858634179346,0.10689802400253458
2016-09-28,0.14441642598657872,0.20619903482383717,0.5428640788832458,0.10652046030633822
2016-10-05,0.1408372693011319,0.20704373832596612,0.5455187841742407,0.10660020819866135
2016-10-12,0.14170297055268433,0.20633085595985684,0.5441540626501584,0.10781211083730047
2016-10-19,0.14235383596117132,0.20727172714685382,0.5450936132608343,0.10528082363114068
2016-10-26,0.1416803315945522,0.207703084077871,0.545747725661363,0.10486885866621387
2016-11-02,0.14227999332854166,0.20770014935989153,0.5455078161519598,0.10451204115960712
2016-11-09,0.14117833358852327,0.20752795328065066,0.5464065825775282,0.1048871305532979
2016-11-16,0.14165121112115325,0.2069112613247943,0.5463608808152481,0.10507664673880435
2016-11-23,0.13892331507096572,0.20664944687920395,0.5474266837921001,0.10700055425773025
2016-11-30,0.13763760542418949,0.20707332719011878,0.5486231688241081,0.1066658985615836
2016-12-07,0.14076611252007853,0.20570474291403315,0.5466834769946751,0.10684566757121317
2016-12-14,0.14178345985596633,0.20632110998028014,0.5449895258804529,0.10690590428330071
2016-12-21,0.1376477042188793,0.20725373042111672,0.5483699933228812,0.10672857203712283
2016-12-28,0.14023737002244968,0.20703253970832894,0.5471502448841365,0.1055798453850848
